id,domain,status,primaryWave,implementationRole,canonicalImplementationIds,implementationOwner,dependsOn,testGate,rollbackUnit,title,notes
AI-035,ai,MISSING,W3,CANONICAL,AI-035,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,Anthropic-compatible proxies may omit usage in message_delta,
AI-036,ai,MISSING,W9,CANONICAL,AI-036,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,dynamic Radius pi-messages gateway（v0.80.8 changelog归纳为 provider-owned OAuth/catalog refresh）,
AI-037,ai,N/A,EXCLUDED,EXCLUDED,AI-037,none,none,scope audit,no code may be imported,official未单列；“type Anthropic probes by catalog providers”,
AI-038,ai,CONFLICT,W5,CANONICAL,AI-038,pi/ai Models/auth + Magenta composite credential resolver,"W1,W2,W3",G5,pi-ai Models/auth commit set,official BREAKING: provider-scoped `Models.checkAuth/getAuth/login/logout`；移除 global OAuth registry/low-level flows；`AuthLoginCallbacks` -> `AuthInteraction`；provider-owned auth/availability,
AI-039,ai,MISSING,W3,CANONICAL,AI-039,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,“Codex session IDs longer than 64 characters [clamped]”,
AI-040,ai,MISSING,W5,CANONICAL,AI-040,pi/ai Models/auth + Magenta composite credential resolver,"W1,W2,W3",G5,pi-ai Models/auth commit set,"official BREAKING/Added: `Models.refresh(options)` all providers, errors/cancellation；`ModelsStore`；`Provider.refreshModels(context)` receives credential/store/network/signal；`force`",
AI-041,ai,CONFLICT,W9,CANONICAL,AI-041,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,“xAI device-code OAuth login and routed Grok 4.5 through OpenAI Responses”,
AI-042,ai,PARTIAL,W9,CANONICAL,AI-042,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,official未在 package changelog单列；commit “publish generated model catalogs to R2”,
AI-043,ai,MISSING,W5,CANONICAL,AI-043,pi/ai Models/auth + Magenta composite credential resolver,"W1,W2,W3",G5,pi-ai Models/auth commit set,Models.refresh({ force: true }) bypass freshness,
AI-044,ai,MISSING,W9,CANONICAL,AI-044,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,official修复项体现在 coding-agent binary；commit “bundle OAuth flows in Bun binaries”,
AI-045,ai,N/A,EXCLUDED,EXCLUDED,AI-045,none,none,scope audit,no code may be imported,official release/changelog/version/test reporter维护,
AI-046,ai,CONFLICT,W9,CANONICAL,AI-046,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,official多次 “refresh generated model catalogs” 及 release-time regeneration,
CC-001,coding-core,MISSING,W4,CANONICAL,CC-001,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,benchmark timing shutdown ordering,
CC-002,coding-core,MISSING,W1,CANONICAL,CC-002,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,explicit provider retry errors,
CC-003,coding-core,MISSING,W1,CANONICAL,CC-003,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,BMP disk images,
CC-004,coding-core,PARTIAL,W7,CANONICAL,CC-004,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,deterministic no-session IDs,
CC-005,coding-core,CONFLICT,W1,CANONICAL,CC-005,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,reject invalid session files,
CC-006,coding-core,PARTIAL,W9,CANONICAL,CC-006,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,default OpenAI model,
CC-007,coding-core,CONFLICT,W7,CANONICAL,CC-007,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,pre-prompt compaction stops,
CC-008,coding-core,CONFLICT,W4,CANONICAL,CC-008,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,RPC tree access and package export,
CC-009,coding-core,MISSING,W4,CANONICAL,CC-009,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,external editor setting,
CC-010,coding-core,PARTIAL,W4,CANONICAL,CC-010,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,extension session-name event,Current internal session_info_changed exists; extension-facing event type/dispatch/export is missing.
CC-011,coding-core,MISSING,W4,CANONICAL,CC-011,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,output padding,
CC-012,coding-core,CONFLICT,W8,CANONICAL,CC-012,pi/ai + pi/agent + coding dynamic tools; existing HCP tool pool,"W4,W5,W6,W7",G8,dynamic-tool protocol commit set,extension tool refresh before next request,
CC-013,coding-core,CONFLICT,W1,CANONICAL,CC-013,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,undici mid-stream termination,
CC-014,coding-core,CONFLICT,CROSSWALK,CROSSWALK,AG-009,crosswalk only; see AG-009,W1,canonical target gates,no independent code; follows canonical targets,bash timeout validation,
CC-015,coding-core,CONFLICT,W6,CANONICAL,CC-015,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,public model resolution helpers,
CC-016,coding-core,CONFLICT,W4,CANONICAL,CC-016,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,persisted entry renderers,
CC-017,coding-core,CONFLICT,W7,CANONICAL,CC-017,HarnessComponentProtocol/compaction/pi,"W5,W6",G7,session then compaction owner-scoped commits,serialize split-turn summaries,
CC-018,coding-core,PARTIAL,W6,CANONICAL,CC-018,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,auth persistence errors,
CC-019,coding-core,CONFLICT,W6,CANONICAL,CC-019,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,skip unauthenticated saved default,
CC-020,coding-core,CONFLICT,W3,CANONICAL,CC-020,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,remove Vercel attribution headers,
CC-021,coding-core,CONFLICT,W4,CANONICAL,CC-021,HarnessComponentProtocol/tools/edit + coding renderer,W1,G4,feature-scoped UI/RPC commits,permissive edit replacement fields,
CC-022,coding-core,N/A,EXCLUDED,EXCLUDED,CC-022,none,none,scope audit,no code may be imported,keybinding guard cleanup,
CC-023,coding-core,PARTIAL,W7,CANONICAL,CC-023,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,clear label timestamp cache,
CC-024,coding-core,CONFLICT,W1,CANONICAL,CC-024,pi/ai + pi/agent + HCP tool/session safety boundaries,W0,G1,owner-scoped W1 commit set,normalize null message content,
CC-025,coding-core,PARTIAL,W4,CANONICAL,CC-025,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,project-local resource configuration,
CC-026,coding-core,CONFLICT,W4,CANONICAL,CC-026,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,named InlineExtension,
CC-027,coding-core,CONFLICT,W6,CANONICAL,CC-027,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,before_provider_headers,
CC-028,coding-core,MISSING,W6,CANONICAL,CC-028,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,`/login <provider>` arguments,
CC-029,coding-core,CONFLICT,W6,CANONICAL,CC-029,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,modelOverrides on extension providers,
CC-030,coding-core,CONFLICT,W4,CANONICAL,CC-030,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,stable Windows context traversal,
CC-031,coding-core,PARTIAL,W7,CANONICAL,CC-031,HCP session/compaction + pi/agent API + coding policy,"W5,W6",G7,session then compaction owner-scoped commits,session-id creation warning,
CC-032,coding-core,CONFLICT,W4,CANONICAL,CC-032,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,reload descriptions,
CC-033,coding-core,CONFLICT,W4,CANONICAL,CC-033,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,settled agent lifecycle,
CC-034,coding-core,CONFLICT,W7,CANONICAL,CC-034,HarnessComponentProtocol/compaction/pi,"W5,W6",G7,session then compaction owner-scoped commits,context-visible custom messages in compaction,
CC-035,coding-core,CONFLICT,W4,CANONICAL,CC-035,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,prompt cache miss notices,
CC-036,coding-core,PRESENT,W2,CANONICAL,CC-036,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,`max` thinking level,
CC-037,coding-core,MISSING,W2,CANONICAL,CC-037,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,input-based pricing tiers,
CC-038,coding-core,MISSING,W4,CANONICAL,CC-038,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,`~` expansion for shellPath,
CC-039,coding-core,CONFLICT,W7,CANONICAL,CC-039,HarnessComponentProtocol/compaction/pi + agent boundary,"W5,W6",G7,session then compaction owner-scoped commits,post-compaction output budget,
CC-040,coding-core,MISSING,W4,CANONICAL,CC-040,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,message copy and clipboard fallback,
CC-041,coding-core,CONFLICT,W8,CANONICAL,CC-041,pi/ai + pi/agent + coding dynamic tools; existing HCP tool pool,"W4,W5,W6,W7",G8,dynamic-tool protocol commit set,cache-friendly message-anchored dynamic tools,
CC-042,coding-core,MISSING,W3,CANONICAL,CC-042,pi/ai provider transports + coding model compatibility,"W1,W2",G3,provider-scoped transport commits,session affinity format,
CC-043,coding-core,CONFLICT,W7,CANONICAL,CC-043,coding AgentSession + HCP compaction dependency injection,"W5,W6",G7,session then compaction owner-scoped commits,branch summaries with ambient auth,Implement only after W5/W6 provide Models-backed ambient auth.
CC-044,coding-core,PARTIAL,W4,CANONICAL,CC-044,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,npm removal with peer conflicts,
CC-045,coding-core,CONFLICT,W9,CANONICAL,CC-045,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,Radius gateway,
CC-046,coding-core,CONFLICT,W4,CANONICAL,CC-046,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,stable system prompt cache across dates,
CC-047,coding-core,MISSING,W6,CANONICAL,CC-047,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,Bedrock API-key login,Implement against W5/W6 provider-owned auth; do not patch the legacy registry.
CC-048,coding-core,CONFLICT,W6,CANONICAL,CC-048,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,async ModelRuntime SDK boundary,
CC-049,coding-core,CONFLICT,W6,CANONICAL,CC-049,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,provider-owned auth and `/login` discovery,
CC-050,coding-core,CONFLICT,W6,CANONICAL,CC-050,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,final request auth/header assembly,
CC-051,coding-core,CONFLICT,W6,CANONICAL,CC-051,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,model composition and async refresh contract,
CC-052,coding-core,CONFLICT,W6,CANONICAL,CC-052,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,"models-store, remote catalogs, Radius migration",
CC-053,coding-core,CONFLICT,W6,CANONICAL,CC-053,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,extension refreshModels and legacy modifyModels,
CC-054,coding-core,CONFLICT,W6,CANONICAL,CC-054,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,live selector refresh,
CC-055,coding-core,CONFLICT,W6,CANONICAL,CC-055,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,`pi update --models`,
CC-056,coding-core,MISSING,CROSSWALK,CROSSWALK,AI-041,crosswalk only; see AI-041,W9,canonical target gates,no independent code; follows canonical targets,xAI device OAuth/Grok 4.5,
CC-057,coding-core,CONFLICT,W9,CANONICAL,CC-057,catalog/OAuth/build/release owners,"W4,W5,W6,W7,W8",G9,pre-release abort; post-release forward recovery,Bun binary OAuth resources,
CC-058,coding-core,MISSING,W6,CANONICAL,CC-058,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,catalog refresh hardening,
CC-059,coding-core,CONFLICT,W6,CANONICAL,CC-059,coding-agent ModelRuntime/extensions/SDK/auth UI,"W4,W5",G6,coding ModelRuntime integration commit set,removed redundant runtime projections,
CU-001,coding-ui,MISSING,W4,CANONICAL,CU-001,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,`outputPad` 全 transcript 输出间距,
CU-002,coding-ui,PARTIAL,W4,CANONICAL,CU-002,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,`externalEditor` setting 与跨平台 fallback,
CU-003,coding-ui,MISSING,W4,CANONICAL,CU-003,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,RPC `get_entries` / `get_tree`,
CU-004,coding-ui,MISSING,W4,CANONICAL,CU-004,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,package `./rpc-entry`,
CU-005,coding-ui,MISSING,W4,CANONICAL,CU-005,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,fully-settled lifecycle: `agent_settled`,
CU-006,coding-ui,PARTIAL,W4,CANONICAL,CU-006,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,prompt cache miss notices,
CU-007,coding-ui,PARTIAL,W4,CANONICAL,CU-007,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,project-local resource configuration,
CU-008,coding-ui,MISSING,W4,CANONICAL,CU-008,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Ctrl+X copy last/selected message,
CU-009,coding-ui,MISSING,W4,CANONICAL,CU-009,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,Ctrl+V image-first、text fallback,
CU-010,coding-ui,CONFLICT,W4,CANONICAL,CU-010,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,从默认 prompt 移除 current date,
CU-011,coding-ui,CONFLICT,CROSSWALK,CROSSWALK,CC-048;CC-049;CC-050;CC-051,"crosswalk only; see CC-048,CC-049,CC-050,CC-051",W6,canonical target gates,no independent code; follows canonical targets,ModelRuntime / auth / SDK breaking migration,
CU-012,coding-ui,MISSING,CROSSWALK,CROSSWALK,CC-052;CC-054;CC-055;CC-058,"crosswalk only; see CC-052,CC-054,CC-055,CC-058",W6,canonical target gates,no independent code; follows canonical targets,live model catalog refresh 与 `update --models`,
CU-013,coding-ui,PARTIAL,W2,CANONICAL,CU-013,pi/ai contracts + pi/agent/coding consumers,W1,G2,usage/pricing/thinking commit set,`max` thinking 与 `thinkingMax` theme,
CU-014,coding-ui,MISSING,W4,CANONICAL,CU-014,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,相邻 thinking blocks 合并,
CU-015,coding-ui,PARTIAL,CROSSWALK,CROSSWALK,CC-028;CC-047;CC-049,"crosswalk only; see CC-028,CC-047,CC-049",W6,canonical target gates,no independent code; follows canonical targets,login/auth UI 与 provider 参数,
CU-016,coding-ui,MISSING,W4,CANONICAL,CU-016,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,`shellPath` 的 `~` 展开,
CU-017,coding-ui,MISSING,CROSSWALK,CROSSWALK,AG-009,crosswalk only; see AG-009,W1,canonical target gates,no independent code; follows canonical targets,bash timeout 输入验证,
CU-018,coding-ui,CONFLICT,CROSSWALK,CROSSWALK,CC-021,crosswalk only; see CC-021,W4,canonical target gates,no independent code; follows canonical targets,edit replacement 允许额外字段,
CU-019,coding-ui,MISSING,W4,CANONICAL,CU-019,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,persisted custom entry renderer,
CU-020,coding-ui,PARTIAL,W4,CANONICAL,CU-020,pi/tui + coding TUI/RPC/settings/extensions; HCP edit adapter,W1,G4,feature-scoped UI/RPC commits,TUI status indicators、输出顺序与 stop-reason UX,
